Producto,Categoria,Tipo,Formato_Venta,Sabor,Peso,Precio
ACEITUNA NEGRA CON CAROZO DOYPACK,Mercadería Varias,Natural,Doypack,,300GR,$6.860,00
ACEITUNA NEGRA CON CAROZO,Mercadería Varias,Natural,KG,,1KG,$17.530,00
ACEITUNA NEGRA EN RODAJA DOYPACK,Mercadería Varias,Natural,Doypack,,300GR,$6.270,00
ACEITUNA NEGRA EN RODAJA,Mercadería Varias,Natural,KG,,1KG,$5.700,00
ACEITUNA NEGRA SIN CAROZO DOYPACK,Mercadería Varias,Natural,Doypack,,300GR,$2.410,00
ACEITUNA NEGRA SIN CAROZO,Mercadería Varias,Natural,KG,,1KG,$2.395,00
ACEITUNA VERDE CON CAROZO DOYPACK,Mercadería Varias,Natural,Doypack,,300GR,$2.475,00
ACEITUNA VERDE CON CAROZO,Mercadería Varias,Natural,KG,,1KG,$2.395,00
ACEITUNA VERDE EN RODAJA DOYPACK,Mercadería Varias,Natural,Doypack,,300GR,$2.475,00
ACEITUNA VERDE EN RODAJA,Mercadería Varias,Natural,KG,,1KG,$6.860,00
ACEITUNA VERDE RELLENA DE MORRON DOYPACK,Mercadería Varias,Elaborado,Doypack,Morrón,300GR,$5.700,00
ACEITUNA VERDE RELLENA DE MORRON,Mercadería Varias,Elaborado,KG,Morrón,1KG,$5.700,00
ACEITUNA VERDE SIN CAROZO DOYPACK,Mercadería Varias,Natural,Doypack,,300GR,$2.475,00
ACEITUNA VERDE SIN CAROZO,Mercadería Varias,Natural,KG,,1KG,$3.105,00
ACEITUNA VERDE BALDE,Mercadería Varias,Natural,Balde,,5KG,$17.530,00
ACETO BALSAMICO,Mercadería Varias,Natural,Botella,,500ML,$2.785,00
ACEITE DE COCO,Mercadería Varias,Natural,Frasco,,360CC,$6.270,00
ACEITE DE GIRASOL,Mercadería Varias,Natural,Botella,,900ML,$6.860,00
ACEITE DE OLIVA,Mercadería Varias,Natural,Botella,,250ML,$2.475,00
AJENJO POTE,Remedios Materos,Natural,Pote,,50GR,$1.795,00
AJENJO TIRA,Remedios Materos,Natural,Tira,,13UND,$2.670,00
AJI 150GR,Condimentos,Natural,Pote,,150GR,$2.335,00
AJI TIRA,Condimentos,Natural,Tira,,13UND,$2.575,00
AJI KG,Condimentos,Natural,KG,,1KG,$8.550,00
ALBAHACA 70GR,Condimentos,Natural,Pote,,70GR,$2.165,00
ALBAHACA TIRA,Condimentos,Natural,Tira,,13UND,$2.910,00
ALBAHACA KG,Condimentos,Natural,KG,,1KG,$14.695,00
ALCACHOFA,Remedios Materos,Natural,Pote,,50GR,$1.705,00
ALFALFA,Remedios Materos,Natural,Pote,,40GR,$1.530,00
ALFALFA TIRA,Remedios Materos,Natural,Tira,,13UND,$2.165,00
ALMENDRAS 150GR,Frutos Secos,Natural,Pote,,150GR,$6.560,00
ALMENDRAS KG,Frutos Secos,Natural,KG,,1KG,$36.645,00
ALMIDON DE MANDIOCA 500GR,Varios,Natural,Bolsa,,500GR,$2.510,00
ALMIDON DE MANDIOCA KG,Varios,Natural,KG,,1KG,$4.205,00
ALMOHADITA SALVADO 125GR,Cereales,Elaborado,Bolsa,,125GR,$2.125,00
ALMOHADITA SALVADO 250GR,Cereales,Elaborado,Bolsa,,250GR,$3.365,00
ALMOHADITA SALVADO KG,Cereales,Elaborado,KG,,1KG,$10.425,00
ALMOHADITA S/MANI S/LIMON S/FRUTILLA S/CHOCOLATE 125GR,Cereales,Elaborado,Bolsa,Maní/Limón/Frutilla/Chocolate,125GR,$1.960,00
ALMOHADITA S/MANI S/LIMON S/FRUTILLA S/CHOCOLATE 250GR,Cereales,Elaborado,Bolsa,Maní/Limón/Frutilla/Chocolate,250GR,$3.045,00
ALMOHADITA S/MANI S/LIMON S/FRUTILLA S/CHOCOLATE KG,Cereales,Elaborado,KG,Maní/Limón/Frutilla/Chocolate,1KG,$9.175,00
ALTAMISA 60GR,Remedios Materos,Natural,Pote,,60GR,$1.835,00
ALTAMISA TIRA,Remedios Materos,Natural,Tira,,13UND,$2.460,00
ALTAMISA KG,Remedios Materos,Natural,KG,,1KG,$11.350,00
AMBAY POTE,Remedios Materos,Natural,Pote,,50GR,$1.705,00
AMBAY TIRA,Remedios Materos,Natural,Tira,,13UND,$2.550,00
ANIS 100GR,Condimentos,Natural,Pote,,100GR,$2.735,00
ANIS TIRA,Condimentos,Natural,Tira,,13UND,$4.075,00
ANIS KG,Condimentos,Natural,KG,,1KG,$16.620,00
ANIS ESTRELLADO 50GR,Condimentos,Natural,Pote,,50GR,$4.730,00
ANIS ESTRELLADO TIRA,Condimentos,Natural,Tira,,13UND,$5.965,00
ARANDANOS 150GR,Frutas Deshidratadas,Natural,Bolsa,,150GR,$4.950,00
ARANDANOS KG,Frutas Deshidratadas,Natural,KG,,1KG,$25.890,00
ARITOS FRUTALES 125GR,Cereales,Elaborado,Bolsa,,125GR,$1.825,00
ARITOS FRUTALES 250GR,Cereales,Elaborado,Bolsa,,250GR,$2.760,00
ARITOS FRUTALES KG,Cereales,Elaborado,KG,,1KG,$8.015,00
AVENA INSTANTANEA 300GR,Cereales,Natural,Bolsa,,300GR,$1.870,00
AVENA INSTANTANEA KG,Cereales,Natural,KG,,1KG,$4.425,00
AZAFRAN EN CAPSULA,Condimentos,Natural,Cápsula,,1UND,$1.130,00
AZUCAR IMPALPABLE 500GR,Varios,Natural,Bolsa,,500GR,$2.715,00
AZUCAR IMPALPABLE KG,Varios,Natural,KG,,1KG,$4.625,00
AZUCAR MASCABO 400GR,Varios,Natural,Bolsa,,400GR,$3.170,00
AZUCAR MASCABO KG,Varios,Natural,KG,,1KG,$6.715,00
BANANA CHIP 100GR,Frutas Deshidratadas,Natural,Bolsa,,100GR,$3.350,00
BANANA CHIP KG,Frutas Deshidratadas,Natural,KG,,1KG,$23.645,00
BICARBONATO DE SODIO 150GR,Varios,Natural,Pote,,150GR,$1.770,00
BICARBONATO DE SODIO TIRA,Varios,Natural,Tira,,13UND,$2.715,00
BICARBONATO DE SODIO KG,Varios,Natural,KG,,1KG,$4.800,00
BOCADITO CHICO,Panadería,Elaborado,Unidad,,1UND,$750,00
BOCADITO HOJALDRE,Panadería,Elaborado,Unidad,,1UND,$1.250,00
BOCADITOS,Panadería,Elaborado,Unidad,,1UND,$750,00
BOLDO POTE,Remedios Materos,Natural,Pote,,30GR,$1.745,00
BOLDO TIRA,Remedios Materos,Natural,Tira,,13UND,$2.380,00
BOLITA DE CHOCOLATE 125GR,Cereales,Elaborado,Bolsa,Chocolate,125GR,$2.040,00
